Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2009-10,21,OKC,NBA,SF,6,231,16.6,.499,.285,.504,3.8,18.4,11.0,13.4,0.7,2.8,12.8,34.0,,-0.1,0.3,0.3,.054,,-0.6,0.3,-0.3,0.1
2010-11,22,OKC,NBA,SF,17,722,24.1,.582,.316,.484,3.0,18.8,11.1,13.3,1.2,2.0,9.1,29.0,,2.6,0.6,3.3,.217,,4.4,0.4,4.8,1.2
2011-12,23,OKC,NBA,SF,20,837,27.5,.632,.287,.402,1.9,19.0,10.6,16.4,1.8,2.4,12.3,28.8,,3.5,0.6,4.0,.231,,5.6,1.7,7.3,2.0
2012-13,24,OKC,NBA,SF,11,485,26.0,.574,.285,.455,1.6,21.1,11.5,29.2,1.5,2.1,12.7,31.9,,1.5,0.7,2.1,.210,,6.0,2.3,8.3,1.3
2013-14,25,OKC,NBA,SF,19,815,22.6,.570,.296,.386,3.7,19.1,11.8,18.3,1.2,2.3,12.7,31.6,,1.5,0.9,2.5,.145,,2.6,1.7,4.3,1.3
2015-16,27,OKC,NBA,SF,18,726,20.3,.542,.270,.359,2.0,17.4,9.8,14.9,1.3,2.0,12.1,32.1,,1.2,0.8,2.0,.130,,0.9,0.9,1.8,0.7
2016-17,28,GSW,NBA,PF,15,533,27.5,.683,.321,.384,3.5,19.5,12.0,19.5,1.1,3.0,10.8,28.3,,2.2,0.9,3.1,.280,,7.7,0.9,8.7,1.4
2017-18,29,GSW,NBA,PF,10,368,23.6,.595,.329,.309,1.5,20.9,11.5,23.2,1.3,2.1,10.6,30.9,,0.9,0.7,1.6,.206,,5.6,0.3,5.9,0.7
