Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2009-10,20,OKC,NBA,SG,6,120,15.8,.584,.516,.613,0.9,13.0,6.9,17.0,2.6,0.7,7.1,16.1,,0.3,0.2,0.5,.186,,2.5,1.8,4.3,0.2
2010-11,21,OKC,NBA,SG,17,537,19.1,.634,.547,.576,2.2,16.9,9.8,19.2,2.1,1.9,13.8,17.1,,1.6,0.6,2.2,.193,,3.9,2.4,6.3,1.1
2011-12,22,OKC,NBA,SG,20,630,20.9,.605,.364,.589,2.5,16.6,9.7,17.2,2.6,0.3,13.5,23.2,,2.0,0.4,2.4,.184,,3.4,1.3,4.7,1.1
2012-13,23,HOU,NBA,SG,6,243,20.8,.548,.383,.574,2.3,16.3,9.2,21.0,2.5,2.2,15.8,31.0,,0.4,0.1,0.5,.100,,0.9,2.9,3.8,0.4
2013-14,24,HOU,NBA,SG,6,263,18.3,.519,.406,.376,2.0,9.9,5.9,21.5,2.4,0.3,11.9,28.5,,0.5,0.1,0.6,.111,,2.0,0.7,2.7,0.3
2014-15,25,HOU,NBA,SG,17,636,24.8,.620,.364,.605,2.0,13.7,7.9,35.0,2.1,0.9,17.1,29.5,,2.3,0.3,2.7,.202,,5.8,1.7,7.5,1.5
2015-16,26,HOU,NBA,SG,5,193,21.8,.555,.420,.450,3.6,11.0,7.1,41.4,3.0,0.4,17.8,31.1,,0.3,0.1,0.4,.106,,5.1,2.0,7.0,0.4
2016-17,27,HOU,NBA,PG,11,407,23.0,.583,.528,.528,1.9,13.7,8.0,41.7,2.6,0.9,18.0,35.3,,0.8,0.6,1.3,.157,,6.4,1.5,7.9,1.0
2017-18,28,HOU,NBA,SG,10,354,27.3,.555,.434,.367,2.4,13.1,7.7,37.4,3.2,1.7,10.8,36.5,,1.0,0.7,1.7,.229,,8.2,1.2,9.4,1.0
