Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,20,OKC,NBA,SG,6,0,120,12,31,.387,6,16,.375,6,15,.400,.484,16,19,.842,1,14,15,11,6,1,3,14,46
2010-11,21,OKC,NBA,SG,17,0,537,66,139,.475,23,76,.303,43,63,.683,.558,66,80,.825,10,81,91,61,21,13,28,48,221
2011-12,22,OKC,NBA,SG,20,0,630,93,214,.435,32,78,.410,61,136,.449,.509,108,126,.857,13,89,102,68,31,2,42,67,326
2012-13,23,HOU,NBA,SG,6,6,243,45,115,.391,15,44,.341,30,71,.423,.457,53,66,.803,5,35,40,27,12,6,27,18,158
2013-14,24,HOU,NBA,SG,6,6,263,50,133,.376,16,54,.296,34,79,.430,.436,45,50,.900,5,23,28,35,12,1,21,21,161
2014-15,25,HOU,NBA,SG,17,17,636,129,294,.439,41,107,.383,88,187,.471,.509,163,178,.916,12,85,97,128,28,7,77,49,462
2015-16,26,HOU,NBA,SG,5,5,193,41,100,.410,13,42,.310,28,58,.483,.475,38,45,.844,7,19,26,38,12,1,26,13,133
2016-17,27,HOU,NBA,PG,11,11,407,90,218,.413,32,115,.278,58,103,.563,.486,101,115,.878,7,53,60,93,21,5,59,43,313
2017-18,28,HOU,NBA,SG,10,10,354,90,221,.407,33,96,.344,57,125,.456,.482,72,81,.889,8,42,50,74,23,7,31,26,285
