Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2009-10,21,OKC,NBA,PG,6,212,24.3,.571,.132,.418,5.2,13.7,9.4,38.9,2.5,0.4,11.5,26.2,,0.6,0.3,0.9,.208,,7.0,2.2,9.2,0.6
2010-11,22,OKC,NBA,PG,17,638,19.6,.499,.140,.414,6.7,9.7,8.2,33.7,2.0,0.7,16.1,34.4,,0.7,0.4,1.1,.084,,1.8,0.7,2.5,0.7
2011-12,23,OKC,NBA,PG,20,767,22.6,.506,.160,.273,3.5,13.4,8.5,28.0,2.1,0.9,9.0,30.7,,1.8,0.3,2.1,.133,,2.4,0.9,3.3,1.0
2012-13,24,OKC,NBA,PG,2,68,25.6,.509,.220,.341,1.7,19.6,10.7,43.9,4.6,0.0,14.5,37.1,,0.1,0.1,0.2,.144,,4.7,3.3,8.0,0.2
2013-14,25,OKC,NBA,PG,19,735,24.9,.539,.251,.412,7.3,13.6,10.6,40.5,2.9,0.6,15.0,34.3,,1.6,0.9,2.5,.166,,5.8,3.1,8.9,2.0
2015-16,27,OKC,NBA,PG,18,674,26.9,.515,.267,.356,6.9,13.5,10.3,52.4,3.4,0.2,14.6,34.3,,2.0,0.9,2.9,.208,,8.0,3.7,11.7,2.3
2016-17,28,OKC,NBA,PG,5,194,27.7,.511,.322,.461,4.7,28.9,16.1,55.7,3.0,1.0,14.1,47.0,,0.2,0.3,0.4,.103,,7.9,5.2,13.1,0.7
2017-18,29,OKC,NBA,PG,6,235,20.2,.493,.261,.248,5.0,27.1,16.2,38.1,1.9,0.0,14.8,39.0,,-0.1,0.4,0.3,.052,,2.1,2.4,4.5,0.4
