Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,24,GSW,NBA,PG,12,12,497,102,235,.434,42,106,.396,60,129,.465,.523,35,38,.921,5,41,46,97,20,2,40,35,281
2013-14,25,GSW,NBA,PG,7,7,296,51,116,.440,22,57,.386,29,59,.492,.534,37,42,.881,4,21,25,59,12,1,26,18,161
2014-15,26,GSW,NBA,PG,21,21,826,200,439,.456,98,232,.422,102,207,.493,.567,96,115,.835,20,85,105,134,39,3,82,47,594
2015-16,27,GSW,NBA,PG,18,17,614,148,338,.438,80,198,.404,68,140,.486,.556,76,83,.916,14,85,99,93,26,5,75,39,452
2016-17,28,GSW,NBA,PG,17,17,601,151,312,.484,72,172,.419,79,140,.564,.599,103,114,.904,22,84,106,114,34,4,58,37,477
2017-18,29,GSW,NBA,PG,4,3,125,32,67,.478,15,34,.441,17,33,.515,.590,19,19,1.000,2,19,21,14,8,2,15,6,98
