Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2012-13,24,GSW,NBA,PG,12,497,20.5,.558,.451,.162,1.2,8.8,5.2,33.3,2.1,0.3,13.7,26.2,,1.3,0.3,1.7,.161,,4.9,0.3,5.2,0.9
2013-14,25,GSW,NBA,PG,7,296,18.8,.599,.491,.362,1.5,8.3,4.8,31.9,2.0,0.3,16.2,23.1,,0.8,0.0,0.8,.131,,2.9,0.8,3.7,0.4
2014-15,26,GSW,NBA,PG,21,826,24.5,.607,.528,.262,2.7,11.1,6.9,29.9,2.4,0.3,14.3,31.0,,2.7,1.2,3.9,.228,,9.1,-0.4,8.7,2.2
2015-16,27,GSW,NBA,PG,18,614,22.3,.603,.586,.246,2.5,14.8,8.7,26.8,2.1,0.7,16.7,32.1,,1.3,0.7,1.9,.152,,6.0,0.4,6.4,1.3
2016-17,28,GSW,NBA,PG,17,601,27.1,.659,.551,.365,4.2,14.1,9.5,29.5,2.7,0.5,13.8,30.0,,2.3,1.1,3.4,.272,,10.4,0.4,10.8,2.0
2017-18,29,GSW,NBA,PG,4,125,23.7,.650,.507,.284,1.7,15.6,8.9,18.5,3.1,1.3,16.6,31.2,,0.2,0.3,0.5,.186,,5.8,-0.3,5.5,0.2
