Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2002-03,25,SAS,NBA,SG,69,1431,14.7,0.556,0.373,0.431,4,8.8,6.5,15.8,3.6,0.8,17.5,18.5,,1.8,2.4,4.2,0.141,,1.1,1.4,2.6,1.7
2003-04,26,SAS,NBA,SG,77,2260,18.5,0.536,0.311,0.378,4.3,12.6,8.5,22.5,3.2,0.5,14.9,22.1,,4,5.1,9.1,0.194,,2.6,2.5,5.1,4
2004-05,27,SAS,NBA,SG,74,2193,22.3,0.609,0.331,0.567,4,13.6,8.8,23,2.9,0.9,15,24.3,,6.4,4.6,11,0.24,,4.8,2.2,7,5
2005-06,28,SAS,NBA,SG,65,1813,22.4,0.593,0.324,0.538,2.8,12,7.5,22.2,3,1,12.8,25,,5.1,3.7,8.8,0.234,,4.3,1.7,6,3.7
2006-07,29,SAS,NBA,SG,75,2060,24.1,0.609,0.378,0.436,3.6,15.1,9.6,22.6,2.8,1,13.4,27.1,,6.3,4.3,10.6,0.246,,5.4,1.8,7.2,4.8
2007-08,30,SAS,NBA,SG,74,2299,24.3,0.612,0.395,0.449,3.3,14.7,9.1,26.4,2.6,1.1,14.5,28.7,,6.6,4.5,11.1,0.232,,6.1,1.9,8.1,5.9
2008-09,31,SAS,NBA,SG,44,1181,22.9,0.594,0.426,0.387,2.5,17.3,10,23.1,2.9,1,13.3,27.2,,2.7,2.3,5,0.203,,4.2,1.8,6,2.4
2009-10,32,SAS,NBA,SG,75,2150,22.5,0.584,0.388,0.393,3.8,11.6,7.7,28.2,2.5,0.8,12.7,25.8,,6.5,3.2,9.7,0.216,,5.6,0.7,6.3,4.5
2010-11,33,SAS,NBA,SG,80,2426,21.7,0.581,0.433,0.403,2.1,11.8,7.1,26.4,2.6,0.8,12.7,26,,6.6,3.2,9.9,0.195,,4.9,0.4,5.3,4.5
2011-12,34,SAS,NBA,SG,34,792,24.1,0.668,0.442,0.354,2.7,13.9,8.4,30.3,1.6,1.1,16.3,22.7,,3.4,0.9,4.2,0.257,,6.5,-0.1,6.4,1.7
2012-13,35,SAS,NBA,SG,60,1393,19,0.56,0.436,0.382,2.6,13.4,8.3,30.6,2.9,0.7,17.3,25.2,,2.1,2.4,4.5,0.155,,2.8,1,3.7,2
2013-14,36,SAS,NBA,SG,68,1550,20,0.59,0.411,0.3,2.3,12,7.3,29,2.3,0.8,16.4,24.7,,3.3,2.4,5.7,0.176,,3.6,0.4,4,2.4
2014-15,37,SAS,NBA,SG,70,1587,16.2,0.544,0.438,0.346,2,12.8,7.5,28.6,2.2,0.9,18.5,23.9,,1.4,2.3,3.7,0.111,,1.4,0.3,1.7,1.5
2015-16,38,SAS,NBA,SG,58,1134,17.8,0.573,0.411,0.257,2.7,11.7,7.3,23.6,3,0.8,17,23.6,,1.5,2.3,3.8,0.16,,2.3,1.3,3.6,1.6
2016-17,39,SAS,NBA,SG,69,1291,13.9,0.532,0.517,0.244,2.5,11.1,6.9,20.8,3.2,1,16.5,20.4,,0.6,2.4,3,0.11,,0.5,1.4,1.9,1.3
2017-18,40,SAS,NBA,SG,65,1299,12.9,0.553,0.415,0.283,1.6,10.6,6.1,19.1,1.7,1,16.8,21.5,,0.6,1.6,2.2,0.082,,-0.5,-0.5,-1,0
