Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,21,OKC,NBA,PG,6,6,212,43,91,.473,5,12,.417,38,79,.481,.500,32,38,.842,10,26,36,36,10,1,14,13,123
2010-11,22,OKC,NBA,PG,17,17,638,135,343,.394,14,48,.292,121,295,.410,.414,121,142,.852,36,55,91,108,24,6,78,56,405
2011-12,23,OKC,NBA,PG,20,20,767,177,407,.435,18,65,.277,159,342,.465,.457,89,111,.802,22,87,109,117,31,8,45,49,461
2012-13,24,OKC,NBA,PG,2,2,68,17,41,.415,2,9,.222,15,32,.469,.439,12,14,.857,1,12,13,14,6,0,8,5,48
2013-14,25,OKC,NBA,PG,19,19,735,167,398,.420,28,100,.280,139,298,.466,.455,145,164,.884,45,93,138,153,41,6,83,62,507
2015-16,27,OKC,NBA,PG,18,18,674,159,393,.405,34,105,.324,125,288,.434,.448,116,140,.829,41,83,124,198,46,2,78,43,468
2016-17,28,OKC,NBA,PG,5,5,194,59,152,.388,13,49,.265,46,103,.447,.431,56,70,.800,9,49,58,54,12,2,30,16,187
2017-18,29,OKC,NBA,PG,6,6,235,64,161,.398,15,42,.357,49,119,.412,.444,33,40,.825,11,61,72,45,9,0,31,21,176
