Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,21,OKC,NBA,SF,6,6,231,43,123,.350,10,35,.286,33,88,.375,.390,54,62,.871,8,38,46,14,3,8,22,17,150
2010-11,22,OKC,NBA,SF,17,17,722,155,345,.449,37,109,.339,118,236,.500,.503,140,167,.838,18,121,139,48,16,19,42,52,487
2011-12,23,OKC,NBA,SF,20,20,837,198,383,.517,41,110,.373,157,273,.575,.570,133,154,.864,13,135,148,74,29,24,63,51,570
2012-13,24,OKC,NBA,SF,11,11,485,112,246,.455,22,70,.314,90,176,.511,.500,93,112,.830,7,92,99,69,14,12,43,26,339
2013-14,25,OKC,NBA,SF,19,19,815,194,422,.460,43,125,.344,151,297,.508,.511,132,163,.810,25,145,170,75,19,25,72,41,563
2015-16,27,OKC,NBA,SF,18,18,726,175,407,.430,31,110,.282,144,297,.485,.468,130,146,.890,13,115,128,60,18,18,65,37,511
2016-17,28,GSW,NBA,PF,15,15,533,149,268,.556,38,86,.442,111,182,.610,.627,92,103,.893,16,103,119,64,12,20,38,39,428
2017-18,29,GSW,NBA,PF,10,10,368,102,207,.493,19,68,.279,83,139,.597,.539,57,64,.891,5,75,80,50,10,10,28,17,280
